구분,유통사,사업자명,사업자등록번호,7월 상품명,7월 판매건수,7월 매출액,7월 판촉액(쿠폰),8월 누적데이터 상태,원인 분석
농산물,네이버,주식회사 시즌드시즌,677-87-02304,"[시즌드시즌 실속형 틴케이스 15TB] 카페인없는차_아침, 오후, 밤_프리미엄 티하우스 시즌드시즌 '하루'티 [원산지:상세설명에 표시]",3,87000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,(주)페어베이커리,116-81-97167,우리밀 한입스콘 플레인 초코칩 바다김 오트밀레이즌 쑥고물 구움과자 5종 세트 [원산지:국산(경기도 부천시)],2,85260,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,(주)한마당,670-81-01262,[오동리 들기름막국수]글루텐프리 No밀가루 쫄깃한 식감의 국내산 100%메밀 막국수 [원산지:국산],2,80000,10000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주곶감 VIP 2호 가정의달 부모님 선물세트 왕반건시 곶감단지 크림치즈말이 36과 [원산지:상세설명에 표시],1,79000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주 곶감 VIP 3호 명절 가정의달 부모님 선물세트 특대 반건시 40과 [원산지:국산(경상북도 상주시) 등],1,78500,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주 곶감 VIP 1호 가정의달 선물세트 특대 반건시 곶감단지 크림치즈말이 40과 [원산지:상세설명에 표시],1,74500,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 유한회사 해오름팜농장,209-87-01228,농부가바로팜 무항생제 동물복지 구운유정란 60구 신선계란 난각번호2번 [원산지:국산(전라남도 나주시)],3,67500,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,주식회사 드림엘링크,562-81-04158,이기순 명인의 순 석박지 2kg 국산 무 국내산 김치 맛집 주문 무김치 프리미엄 [원산지:국산],4,64700,6480,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,1kg 선물용 와인상자/25년 고시히카리 햅쌀/당일도정 특등급 선물용 정미소직판 [원산지:국산(인천광역시 강화군)],2,61100,2740,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주 곶감 혼합2호 가정의달 부모님 상견례 선물세트 반건시 대과 곶감단지 30과 [원산지:상세설명에 표시],1,60000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
